Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
64,1,123,4,57,7,Normal
47,5,160,29,24,23,Normal
37,5,77,18,29,8,Normal
34,5,76,21,26,8,Normal
29,4,92,13,24,5,Normal
37,3,138,5,26,11,Normal
43,4,102,7,43,0,Normal
37,5,48,20,37,0,Normal
34,4,50,14,30,4,Normal
21,3,26,10,19,2,Normal
38,7,65,17,35,3,Normal
55,5,74,25,51,4,Normal
67,7,157,34,38,29,Normal
74,6,163,18,45,29,Normal
58,4,101,13,48,10,Normal
49,5,82,32,42,7,Normal
50,5,74,16,42,8,Normal
45,7,84,42,42,3,Normal
95,6,282,48,78,17,Normal
90,5,427,15,64,26,Normal
76,7,533,167,51,25,Normal
73,7,390,192,46,27,Normal
63,5,303,53,35,28,Normal
43,3,56,127,39,4,Normal
65,5,112,25,55,10,Normal
71,8,494,32,60,11,Normal
39,6,285,41,33,6,Normal
59,5,218,20,38,21,Normal
66,5,160,12,59,7,Normal
24,4,68,11,24,0,Normal
36,5,72,28,36,0,Normal
20,4,47,34,20,0,Normal
37,3,103,10,34,3,Normal
37,6,61,16,37,0,Normal
59,4,100,15,55,4,Normal
66,5,345,15,64,2,Normal
66,5,454,115,64,2,Normal
69,6,206,226,63,6,Normal
90,4,189,21,83,7,Normal
51,6,89,35,48,3,Normal
51,6,96,19,49,2,Normal
25,5,50,17,23,2,Normal
25,3,57,10,25,0,Normal
19,2,30,3,18,1,Normal
46,7,142,16,40,6,Normal
103,5,319,41,94,9,Normal
42,4,354,16,40,2,Normal
37,4,154,10,29,8,Normal
39,4,43,9,30,9,Normal
26,4,38,6,22,4,Normal
42,6,75,22,37,5,Normal
36,6,76,27,31,5,Normal
67,5,126,9,59,8,Normal
38,6,62,12,36,2,Normal
23,5,29,19,20,3,Normal
21,4,30,7,19,2,Normal
30,4,275,24,25,5,Normal
236,5,920,25,225,11,Normal
39,4,63,25,31,8,Normal
22,4,40,8,18,4,Normal
34,4,61,13,23,11,Normal
52,2,110,13,44,8,Normal
55,6,114,44,46,9,Normal
247,5,949,21,233,14,Normal
35,4,63,19,32,3,Normal
29,5,46,10,25,4,Normal
54,6,206,19,47,7,Normal
58,5,165,26,51,7,Normal
55,7,109,40,50,5,Normal
32,3,43,10,28,4,Normal
42,4,54,15,34,8,Normal
49,7,98,17,41,8,Normal
32,3,67,8,25,7,Normal
22,6,35,14,21,1,Normal
27,5,33,13,24,3,Normal
52,4,88,8,43,9,Normal
27,5,39,16,23,4,Normal
35,3,62,6,34,1,Normal
28,5,41,17,19,9,Normal
30,4,47,10,17,11,Normal
43,7,63,22,31,12,Normal
54,4,112,24,46,8,Normal
63,7,111,24,49,14,Normal
33,5,62,19,27,6,Normal
40,5,86,16,30,10,Normal
35,5,72,18,24,11,Normal
37,6,59,32,28,9,Normal
40,2,53,4,38,2,Normal
46,4,85,11,40,6,Normal
31,3,54,9,26,5,Normal
30,4,37,25,25,5,Normal
31,5,49,17,28,3,Normal
34,5,58,14,34,0,Normal
36,4,88,15,36,0,Normal
51,4,93,19,41,10,Normal
43,5,82,19,40,3,Normal
45,6,85,24,39,6,Normal
38,4,69,15,34,4,Normal
41,7,106,61,33,8,Normal
33,3,75,7,29,4,Normal
27,4,65,15,26,1,Normal
49,6,108,25,46,3,Normal
27,4,61,7,20,7,Normal
46,4,94,13,35,11,Normal
26,3,49,3,22,4,Normal
16,4,28,14,13,3,Normal
29,4,36,20,19,10,Normal
32,5,55,33,30,2,Normal
25,3,110,7,25,0,Normal
33,6,79,33,31,2,Normal
48,4,176,24,47,1,Normal
49,6,156,39,47,2,Normal
35,4,138,27,35,0,Normal
56,7,130,119,46,10,Normal
62,6,133,57,53,9,Normal
87,7,181,24,79,8,Normal
72,6,134,34,60,12,Normal
57,5,138,16,53,4,Normal
51,6,133,24,44,7,Normal
55,3,114,21,42,13,Normal
50,8,105,29,44,6,Normal
99,7,227,22,85,14,Normal
86,7,174,39,85,1,Normal
59,7,115,34,54,5,Normal
56,4,100,22,45,11,Normal
60,5,137,29,57,3,Normal
80,5,235,25,68,12,Normal
86,7,201,67,74,12,Normal
106,9,145,22,99,7,Normal
54,5,77,24,52,2,Normal
64,4,111,12,43,21,Normal
52,8,121,29,42,10,Normal
43,6,64,16,37,6,Normal
41,7,61,21,33,8,Normal
56,5,79,19,42,14,Normal
62,7,95,17,43,19,Normal
50,7,85,28,42,8,Normal
99,9,326,278,94,5,Normal
65,5,368,18,58,7,Normal
51,5,178,107,42,9,Normal
40,6,79,10,38,2,Normal
54,5,85,13,51,3,Normal
45,6,162,22,43,2,Normal
39,3,149,10,37,2,Normal
163,6,558,13,163,0,Normal
70,6,195,23,70,0,Normal
71,5,221,52,71,0,Normal
48,2,125,6,48,0,Normal
36,5,52,17,31,5,Normal
44,5,67,15,44,0,Normal
34,5,74,22,29,5,Normal
70,6,135,31,58,12,Normal
27,4,53,12,19,8,Normal
41,5,74,10,29,12,Normal
44,4,100,4,41,3,Normal
37,4,99,24,36,1,Normal
62,4,192,50,51,11,Normal
55,7,169,55,42,13,Normal
44,5,126,32,37,7,Normal
49,6,120,21,43,6,Normal
51,4,67,11,47,4,Normal
44,4,84,6,42,2,Normal
26,4,65,12,24,2,Normal
45,5,67,10,36,9,Normal
40,6,72,26,29,11,Normal
32,5,62,19,25,7,Normal
34,4,56,13,29,5,Normal
66,5,95,8,48,18,Normal
34,5,51,24,23,11,Normal
33,4,66,8,28,5,Normal
26,4,34,12,24,2,Normal
45,3,159,6,36,9,Normal
42,2,96,8,37,5,Normal
81,3,282,4,70,11,Normal
56,2,212,8,45,11,Normal
61,6,181,13,57,4,Normal
37,6,77,14,32,5,Normal
36,4,77,8,29,7,Normal
34,6,58,13,29,5,Normal
50,2,203,3,50,0,Normal
90,5,315,6,87,3,Normal
65,4,145,9,60,5,Normal
75,6,123,22,69,6,Normal
85,6,282,27,80,5,Normal
124,6,595,65,119,5,Normal
109,5,577,31,98,11,Normal
48,5,168,27,43,5,Normal
50,5,97,32,48,2,Normal
73,6,171,40,70,3,Normal
51,6,174,50,51,0,Normal
51,3,127,9,50,1,Normal
33,5,74,21,31,2,Normal
48,6,121,29,43,5,Normal
125,5,459,28,116,9,Normal
139,6,533,28,134,5,Normal
57,5,151,26,50,7,Normal
48,7,78,23,42,6,Normal
54,7,146,15,50,4,Normal
25,4,60,12,20,5,Normal
53,5,117,11,35,18,Normal
97,6,290,13,86,11,Normal
29,6,59,36,19,10,Normal
51,6,102,11,38,13,Normal
48,7,84,23,38,10,Normal
40,4,84,26,22,18,Normal
29,6,118,19,22,7,Normal
52,8,137,17,46,6,Normal
28,3,39,10,25,3,Normal
58,6,87,10,48,10,Normal
35,6,38,10,27,8,Normal
38,4,56,11,25,13,Normal
48,4,64,7,41,7,Normal
42,6,85,17,38,4,Normal
58,7,87,11,48,10,Normal
49,5,73,10,39,10,Normal
40,4,67,15,35,5,Normal
18,5,54,16,15,3,Normal
29,4,49,7,24,5,Normal
29,5,54,18,29,0,Normal
53,4,87,10,52,1,Normal
42,1,59,2,39,3,Normal
24,5,48,17,22,2,Normal
35,3,74,7,33,2,Normal
310,6,1317,10,292,18,Normal
281,5,669,18,269,11,Normal
277,6,734,19,273,4,Normal
279,6,833,47,270,9,Normal
261,6,1184,31,247,14,Normal
251,8,809,255,241,10,Normal
285,9,930,92,278,7,Normal
146,7,382,108,144,2,Normal
199,6,495,27,197,2,Normal
164,10,285,69,159,5,Normal
183,10,323,57,169,9,Normal
149,7,274,22,135,14,Normal
144,8,328,51,136,8,Normal
184,6,484,85,182,2,Normal
104,7,229,119,98,6,Normal
73,6,114,31,69,4,Normal
68,5,132,23,66,2,Normal
118,10,391,48,115,3,Normal
101,8,262,17,98,3,Normal
211,9,686,28,194,17,Normal
266,10,786,67,250,16,Normal
134,5,396,97,134,0,Normal
120,6,370,42,119,1,Normal
51,6,81,63,45,6,Normal
49,6,72,12,43,6,Normal
87,7,316,22,84,3,Normal
103,9,151,57,94,9,Normal
103,8,227,23,94,9,Normal
116,8,207,31,105,11,Normal
71,6,172,20,66,5,Normal
162,6,387,142,145,17,Normal
133,7,346,78,120,13,Normal
82,7,152,47,78,4,Normal
66,6,120,29,55,11,Normal
92,8,192,66,85,7,Normal
123,6,315,41,113,10,Normal
73,6,133,34,66,7,Normal
72,5,118,62,58,14,Normal
111,8,250,26,97,14,Normal
178,11,322,101,163,15,Normal
95,7,159,24,91,4,Normal
74,7,138,47,67,7,Normal
148,8,359,53,136,12,Normal
91,7,202,21,88,3,Normal
79,8,252,70,70,9,Normal
141,6,411,41,134,7,Normal
150,8,291,40,140,10,Normal
105,8,286,44,101,4,Normal
67,8,190,33,56,11,Normal
87,8,270,57,73,14,Normal
63,7,150,54,57,6,Normal
88,7,261,65,82,6,Normal
131,8,582,32,125,6,Normal
82,8,242,56,68,14,Normal
108,4,198,21,99,9,Normal
69,8,266,25,67,2,Normal
