Number_of_announcements,Number_of_announced_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Number_of_duplicate_announcements,Maximum_edit_distance,Maximum_AS_path_length,Number_of_Interior_Gateway_Protocol_IGP_packets,Labels
65,71,6,6,23,1.2,11,65,Normal
41,77,6,5,16,0.8,10,41,Normal
49,128,6,6,34,0.9,14,42,Normal
52,109,7,7,39,0.9,14,51,Normal
48,79,6,6,43,0.8,14,48,Normal
55,133,6,6,58,1,9,54,Normal
32,80,6,6,39,0.6,16,31,Normal
32,53,7,8,15,0.6,17,30,Normal
50,82,8,8,23,1,17,50,Normal
58,243,7,7,97,1,15,58,Normal
57,294,7,7,234,1,11,57,Normal
23,61,6,6,20,0.5,9,23,Normal
24,59,5,5,6,0.5,6,23,Normal
60,163,5,5,17,1,8,58,Normal
59,211,6,7,58,1,14,55,Normal
56,122,7,7,59,1,13,55,Normal
34,72,5,5,39,0.6,10,34,Normal
46,106,6,6,24,0.8,13,45,Normal
39,95,6,7,18,0.7,16,37,Normal
46,66,7,6,14,0.9,16,45,Normal
20,30,6,6,7,0.4,9,20,Normal
25,71,6,5,21,0.4,9,25,Normal
52,137,6,6,90,0.9,10,48,Normal
73,143,6,6,41,1.3,9,71,Normal
48,99,6,6,28,0.9,9,47,Normal
40,46,6,7,16,0.7,17,31,Normal
227,729,7,7,19,3.9,12,223,Normal
227,354,6,6,14,4.1,15,223,Normal
39,71,7,7,29,0.7,12,39,Normal
72,149,6,6,15,1.2,12,70,Normal
72,164,6,6,6,1.2,15,70,Normal
66,275,6,6,23,1.1,9,63,Normal
56,232,6,6,31,100,12,56,Normal
118,423,6,6,11,2,12,118,Normal
75,141,6,6,16,1.3,13,75,Normal
39,76,6,5,42,0.8,14,39,Normal
34,54,5,5,19,0.6,9,34,Normal
36,63,6,6,18,0.7,16,36,Normal
37,85,6,6,31,0.7,9,37,Normal
47,102,5,5,38,0.8,7,44,Normal
42,100,6,6,23,0.8,9,42,Normal
56,96,6,6,30,1,15,48,Normal
46,72,6,6,28,0.8,14,39,Normal
48,125,5,5,36,0.9,7,47,Normal
25,33,4,4,9,0.5,5,23,Normal
38,101,6,6,30,0.7,12,38,Normal
44,131,7,7,46,0.8,16,44,Normal
56,167,7,6,64,1,16,56,Normal
57,95,6,6,53,1,13,57,Normal
83,153,6,6,64,1.5,13,77,Normal
53,86,6,6,45,1,17,53,Normal
53,91,6,6,34,1,17,53,Normal
42,70,6,6,16,0.7,17,38,Normal
49,88,5,5,31,0.9,14,45,Normal
38,63,5,5,19,0.7,8,35,Normal
37,103,5,5,53,0.6,10,36,Normal
43,60,5,6,22,0.8,10,40,Normal
38,66,6,6,26,0.7,10,38,Normal
30,71,6,6,25,0.5,8,30,Normal
49,97,5,6,42,0.9,9,46,Normal
55,74,5,5,31,1,9,45,Normal
25,31,5,5,8,0.5,8,25,Normal
50,122,5,5,51,0.9,13,46,Normal
58,111,5,5,34,1,7,55,Normal
56,138,5,6,41,1.1,8,56,Normal
74,244,5,5,192,1.3,8,69,Normal
75,165,5,5,34,1.3,10,72,Normal
77,133,6,6,38,1.4,11,75,Normal
64,114,4,4,37,1.1,7,63,Normal
30,64,4,4,23,0.6,5,30,Normal
24,61,5,5,22,0.5,6,24,Normal
28,32,6,6,12,0.5,10,28,Normal
38,52,5,5,12,0.7,14,36,Normal
37,69,5,5,27,0.7,13,35,Normal
44,59,5,5,14,0.8,8,43,Normal
35,51,5,5,14,0.6,7,35,Normal
40,54,6,6,18,0.8,9,40,Normal
53,95,6,6,58,0.9,12,50,Normal
42,54,6,6,13,0.8,13,41,Normal
82,118,6,6,36,1.5,15,81,Normal
73,95,6,6,54,1.3,14,72,Normal
73,287,6,6,36,1.3,8,73,Normal
74,141,5,5,41,1.3,7,71,Normal
751,2790,6,6,50,12,12,743,Normal
301,1489,5,5,34,5,10,286,Normal
342,1404,6,6,26,5.9,9,335,Normal
624,2529,5,5,87,10,12,602,Normal
44,52,6,6,33,0.8,9,43,Normal
712,2714,6,6,81,12,12,697,Normal
348,1684,5,5,67,5.8,11,337,Normal
37,65,5,5,32,0.6,10,37,Normal
49,88,5,5,42,0.8,8,49,Normal
33,123,5,5,28,0.6,9,33,Normal
42,131,6,7,28,0.8,12,40,Normal
73,178,7,7,61,1.3,29,71,Normal
54,72,6,6,18,1,15,54,Normal
44,107,5,6,47,0.8,14,43,Normal
65,162,6,6,128,1.2,14,61,Normal
22,29,5,5,8,0.4,5,22,Normal
20,40,5,5,15,0.4,8,20,Normal
27,53,5,5,30,0.5,7,27,Normal
44,264,6,5,54,0.8,10,37,Normal
40,270,5,5,186,0.7,5,37,Normal
22,46,5,5,19,0.4,5,21,Normal
27,34,6,6,7,0.4,14,27,Normal
37,51,6,6,30,0.6,14,37,Normal
40,52,6,6,13,0.7,9,36,Normal
54,90,6,6,33,0.9,9,53,Normal
61,104,5,5,39,1.1,7,61,Normal
12,15,5,4,4,0.2,5,12,Normal
14,36,5,4,13,0.3,5,14,Normal
19,23,4,4,6,0.3,5,18,Normal
26,45,6,6,30,0.5,10,26,Normal
45,102,5,5,12,0.8,6,45,Normal
51,141,5,5,33,0.9,6,50,Normal
53,153,5,5,57,100,8,50,Normal
48,132,6,5,51,0.8,11,44,Normal
50,63,5,6,26,0.9,8,46,Normal
44,74,6,6,24,0.8,9,44,Normal
37,52,6,6,13,0.6,7,36,Normal
114,135,6,6,41,2.1,10,113,Normal
121,149,7,6,71,2.3,9,120,Normal
73,120,7,7,39,1.3,10,73,Normal
32,36,5,5,11,0.6,7,29,Normal
47,72,6,6,41,0.9,10,42,Normal
29,39,6,6,10,0.6,8,25,Normal
50,168,6,6,51,0.9,13,49,Normal
36,50,7,7,19,0.7,18,35,Normal
51,98,6,6,33,0.9,13,50,Normal
37,111,5,5,78,0.7,12,36,Normal
32,69,5,5,20,0.6,7,30,Normal
34,93,6,6,27,0.6,9,32,Normal
58,136,6,6,34,1.1,11,57,Normal
54,123,5,5,54,100,13,52,Normal
27,48,5,5,24,0.5,6,27,Normal
29,51,5,5,17,0.6,7,28,Normal
56,110,7,7,34,1,13,54,Normal
49,154,6,6,51,0.9,12,48,Normal
32,108,6,6,34,0.6,12,29,Normal
42,86,6,6,17,0.7,14,42,Normal
58,151,6,6,65,1,15,58,Normal
102,236,6,6,137,1.9,15,103,Normal
33,58,5,5,31,0.6,7,33,Normal
39,128,5,5,50,0.7,8,38,Normal
63,241,6,6,108,1.1,14,59,Normal
55,163,7,7,54,1,15,55,Normal
